block_date,n_swaps,simple_avg_next_bps,usd_weighted_next_bps,simple_avg_15s_bps,usd_weighted_15s_bps,total_usd,lp_pnl_next_dollar,lp_pnl_15s_dollar
2025-09-27,4726,3.516604337050024,3.1803372203273987,3.519654915833005,2.970891073662399,3.54498156176595E7,11305.842273752975,10563.594941589165
2025-09-28,4271,2.8721670288192778,0.7692971063144177,2.7239979052298025,0.5584599513609962,3.2426957652184453E7,2504.0825800489256,1808.3646151914031
2025-09-29,4722,3.3381952569958724,1.8706416600746205,3.2491594192768183,1.592018930610668,4.126157872276799E7,7786.172476503088,6633.133702670894
2025-09-30,4287,3.018056942113662,1.4454160163681635,2.8697348891336687,1.1253634391714369,4.438342697731575E7,6534.412674030643,5112.7762243021925
2025-10-01,4705,2.801602859492639,0.5645983189718076,2.735476785756112,0.018294870491868242,6.838269525131264E7,3974.992853378392,241.5791994135695
2025-10-02,4632,3.0129224311186045,-0.1823967019920641,2.8330454133780165,-0.45225989265415195,7.626845136709757E7,-1276.243364042412,-3343.0107000263865
2025-10-03,4864,2.6036342758090205,0.32908324255386284,2.356773948929539,-0.128991541490774,6.49691608558613E7,2145.4425394182845,-821.431892598184
2025-10-04,3428,2.8711772795828634,1.1361753710507798,2.8272082989167595,0.8731671779834669,2.1368095431495473E7,2926.2148597452806,2365.683147986192
2025-10-05,4926,2.7110523811764717,0.7431210186927517,2.479961934733994,0.150962411827439,4.180388721706927E7,3134.2308964236977,654.2595809946647
2025-10-06,5401,3.379247397133817,0.22473006733294848,3.207846822547212,-0.33480954521350065,8.866257507467744E7,1996.3603319982935,-2980.762602477269
2025-10-07,5400,2.8195801282921824,0.6850095251473355,2.6926419806827577,0.2667328797050243,7.607540748523095E7,5270.576333946603,2083.3083128816397
2025-10-08,4772,2.693973782081082,0.09916444836936707,2.6105988182439863,-0.25651079317062603,4.568935053371157E7,458.4691641586033,-1165.420742155775
2025-10-09,5485,2.906030136749144,0.7046472870506808,2.7158517165412577,0.21959802592462555,5.253435175589395E7,3750.438154428531,1199.176204534936
2025-10-10,7560,-6.223791920049324,-19.11778990010027,-5.922248070806305,-18.63579209908337,1.903221260684467E8,-89423.92019006617,-86170.71915195063
2025-10-11,8525,2.6036034762181366,2.4445592369417937,2.401892080143192,2.140965653502371,1.1399369415727478E8,28939.474283313222,25495.400881547546
2025-10-12,7508,2.6356745917862745,-1.4962438255785195,2.374372038134681,-1.2949318368438256,1.3491826370912904E8,-19895.37575798522,-17351.214097353935
2025-10-13,6511,2.4850391237376286,-0.5341892657222344,2.3995307642271637,-1.1421077088279836,8.380985469783212E7,-4448.119598385659,-9513.200347742748
2025-10-14,7521,2.5301078920663977,-1.1065071940433988,2.340900038009865,-0.8966546630206739,1.6323396299568555E8,-17872.10009360842,-14407.106848046205
2025-10-15,6331,2.400099994050051,-0.8252187408401676,2.0966394905340735,-1.6127489577855938,1.1344770611251777E8,-9283.00558447705,-18195.089526572134
2025-10-16,6214,2.4594440391202337,0.053197409145208256,2.1951175023319216,-0.5108943307645067,9.196667669798751E7,790.6360703931604,-4383.902911243029
2025-10-17,6803,2.8171840267755357,0.9245963325986402,2.6334246446151957,0.42845133046433176,7.35505941496556E7,7142.170136567231,3509.166544565363
2025-10-18,3842,2.7703687662834375,1.9520403054242177,2.628336076424685,1.5343337314431573,2.36103263050873E7,4685.083404001379,3701.200928654062
2025-10-19,4788,2.6509032321328334,1.429154764555908,2.5173038915269945,0.9014610431205997,4.599990925913034E7,6596.093178047795,4191.617082527667
2025-10-20,4868,2.5481922644944723,0.686577422850861,2.3633767824754437,0.45291887732690556,4.351464173009877E7,2999.2803112372662,1993.7166312205
2025-10-21,5664,2.768104432879207,0.05384600718508585,2.483908516245094,-0.5890036357652129,6.2808735749059655E7,128.71202903193165,-3925.241727254569
