usd_amount,markout_bps
311.8910,-3.164213
17.8317,-0.251641
3197.5673,1.701367
1057.8812,5.413479
2308.0426,6.164834
13.4478,-3.521155
10.1991,-3.843565
723.3329,3.331823
3019.7761,2.951885
397.2208,-0.024569
539.0322,0.019637
297.1710,-2.197005
2024.3409,-4.737034
5338.5357,1.140979
1983.9416,6.047926
2999.7882,-4.751866
9.7358,2.721013
144.2739,2.201085
3742.9690,0.086767
4998.8060,-2.209781
10.7671,1.952381
19584.1530,14.580006
17.4880,2.994029
1272.0864,0.516786
30.0616,1.992143
30.9576,-7.105251
150.5159,0.007137
16.2318,1.115368
2228.1423,0.105605
80.9404,-2.425437
0.1014,-1.494649
0.1291,-2.108879
42.1535,1.105663
1840.2771,1.194818
5425.8528,2.281142
6868.6723,2.876246
231.7511,3.212457
2347.6767,-1.076718
594.2574,6.687005
2.5191,0.209228
8.2753,-0.401003
1.1595,-8.146816
1632.9455,-8.069678
7504.1033,0.109574
922.2473,-5.235988
854.6389,-3.414834
6051.4288,1.824243
3426.7661,0.878274
26.6638,1.041129
345.0226,1.058650
15.7600,-0.771681
1856.1960,-1.994529
103.9292,3.167654
9.8731,6.052402
3.1261,4.020371
118.9261,9.029045
4.2235,-2.308768
11364.8491,-1.772601
93.3648,2.948959
999.0469,0.668795
227.4321,-4.970095
39502.2162,-9.577739
1.1026,3.064961
177.2322,-4.854240
85.3118,2.044817
198.6118,0.341601
23.0412,7.364296
105.0682,0.030266
1765.9036,4.697170
726.5099,4.814885
57.5868,4.851918
16020.0447,4.298423
534.4992,5.080253
2292.1587,-3.495388
45.3831,1.578470
153.7924,-0.468527
274.3463,-1.333883
77.3732,-1.500433
99.9407,-1.275894
10.8488,5.344307
31.6728,2.529158
298.4422,3.135851
2548.6432,2.991566
9992.4744,-5.775931
988.3722,-0.911284
871.2000,2.699028
504.3515,2.764196
98.2909,1.514409
105.4755,-0.366387
8591.3607,-4.249366
42.2458,0.971962
940.2938,3.460060
93.5195,0.094273
12066.2605,-1.316852
137.2844,1.592660
53898.7279,-0.047072
4.4311,1.282069
220.1738,3.196011
264.3258,-1.713959
105.1120,3.324947
19.8184,6.781164
138.3339,2.786994
1628.8593,1.713480
18.9153,0.703940
261.7600,0.717230
93.5298,0.542346
7892.2245,8.829800
1189.9288,3.807147
469.9727,0.273301
1020.5551,2.939914
23.2497,-0.897135
577.3824,-0.868634
4.5839,1.301471
5.9959,0.740244
466.0122,3.095808
790.7717,3.155340
466.2779,-4.681985
42750.1659,-2.177476
10950.3656,2.802986
23.1928,-7.795175
517.5271,1.516827
314.6339,1.556357
26.9659,8.520297
80.0317,8.525381
5202.1821,4.340276
921.2343,-2.640186
93.5700,1.852465
8859.3308,6.771743
951.3250,7.237982
999.9262,-0.977504
11.2744,0.376056
3016.5694,-0.864367
70.2783,9.634309
1535.1212,0.824966
9.3831,0.898348
250.0889,2.120301
1193.0498,-6.964779
9968.0414,0.704647
1312.0678,0.872760
18.7045,-5.447034
295.6525,2.663016
100.2459,2.681852
5.5549,-4.335504
1010.2272,6.415367
601.7534,-23.076786
856.6522,0.175689
139.6662,-3.716564
11997.1538,-3.137863
14.8412,-3.187817
69.5088,18.719291
168.1530,30.921429
89.1378,11.079407
6990.7124,-3.484472
580.1384,-3.124021
499.0268,-4.855952
90.0475,15.565523
8.7810,15.570242
5457.7036,4.898630
603.8074,2.555167
3.0445,-6.226911
161.4976,5.953590
613.2861,-3.109465
199.9670,-1.219284
464.2371,-10.315516
86.4057,4.969078
4.6245,2.500063
372.5223,-3.511921
213.9181,-2.613150
41.7585,4.303258
4966.6990,-3.969369
81.8864,-1.401763
807.3186,-1.806329
2110.0211,-5.016027
3575.6186,-4.612397
337.3320,7.782694
5742.1997,-18.673056
4058.6774,14.318741
2168.7177,15.519798
1051.0959,8.866019
1519.7005,0.359957
2439.5313,2.059378
740.8646,1.922032
4943.6246,5.540632
303.9227,-1.728354
158.2242,-6.821051
69.9166,2.382669
3794.2452,-11.707219
185.4165,2.962103
498.1962,-5.086626
971.9327,-4.091294
4.2958,-2.243203
819.0210,-2.203994
4.7567,0.000844
211.7654,0.011189
9.6036,0.875150
29404.1639,5.172543
478.6930,2.878018
50.0398,1.527442
30.4018,11.237481
230.2072,-1.559429
1993.3781,4.932099
5233.3246,1.541070
5.6640,13.044357
34.6122,-3.300198
19692.3831,-8.401654
580.3523,-17.580392
12.0686,6.846485
4467.5652,14.536736
262.1549,-4.234857
357.2373,0.109116
1627.3865,3.241835
997.2813,9.636780
65.4960,-8.079000
10.0291,-8.075472
9977.5330,3.395967
