victim_tx,protocol,pool,usd_amount
0xe26c09366826f74bedfaced22c80dfe0eebc2fd355bb4806f929e366370c5281,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,27.09556092493492
0x043e18ac9e28e2a48135189ae33d70c85a881a588b77bc410068d0880d77f673,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,84.34720726032987
0x127a35c9ed4ac6ef51b2ffa7a621ce377aa6f8a84106078bfe7d865be9702b77,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,62.41470218052262
0x9604c7d32f4cd4f5b9e78edc775011eab8321d73ff8a2e23c331a5c1c7e71369,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,1165.7451
0xfdbb72c040637aa25b4b62045b10538a3807d103609663e0e0f96965e17713c3,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,38.74949796784477
0x804069ecc508d0c8f92ea24dcc1b266c018880558925234af3a2e8396ef52c18,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,70.48041656300286
0x9d80b76bce489d2bee2d31d9cabf9f0390b5a401599f3e041ece647511093290,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,28.56259290743702
0x43386c89e087ecc9ee29f08ff7b3d48b11e2f0857fd5aaeed2adf0fc5eaf4cc8,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,771.7949286377535
0xd8a9b94c7df4b23a9677071c384e2aba2891b59c62cffe95a26fea56fed4ac9d,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,38.3956824862633
0xfabb6da778c8cdbd4ff097d2107c6e2d2eac1d8de1662c2da6c0e406178847f1,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,291.2086600919021
0x063b853f0e45bebe26f4fcfc7b9bd5c2da7910260e92d957fc1a9d2b7f9b1e66,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,46.94125695553851
0x4acc62aa01da63a70d8f0e065bca6fff13f02a88927699f783e8c6a500ad9caa,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,42.6656798261974
0x140e794fd523e84d60f759f23f73b7cec474c1c0aa7777aff079be8055573fb4,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,186.4071811808297
0x74d2c56bcab0a0bf5d4b379071a4298ba2f1ce70789a8fdb1b5649471bf945ff,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,56.48213752244353
0xa9475313f192c3da544e1435ea638bdccaef4af85cbdb4f3422cc9ea7d7f1d36,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,566.2931412020815
0x0d92e357009f06300b231dae38453b406b018058fea17a8e2a2fb8bf596d323c,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,32.83020994039944
