pct,markout_next_bps,markout_15s_bps
75.8,1.415849,2.471733
75.9,1.428877,2.487609
76.0,1.441232,2.512958
76.1,1.448206,2.535404
76.2,1.458159,2.549988
76.3,1.469964,2.570044
76.4,1.481886,2.593202
76.5,1.492959,2.608639
76.6,1.512229,2.623562
76.7,1.526252,2.637983
76.8,1.535121,2.664646
76.9,1.547235,2.673035
77.0,1.561244,2.690899
77.1,1.584481,2.705682
77.2,1.592178,2.715734
77.3,1.614639,2.735649
77.4,1.630598,2.747648
77.5,1.654641,2.779121
77.6,1.674550,2.788168
77.7,1.698025,2.806433
77.8,1.714359,2.831502
77.9,1.727193,2.848455
78.0,1.742192,2.862260
78.1,1.763276,2.871883
78.2,1.775026,2.905814
78.3,1.800319,2.930872
78.4,1.807259,2.944314
78.5,1.820614,2.979001
78.6,1.835539,2.997476
78.7,1.851024,3.018831
78.8,1.871512,3.036320
78.9,1.889164,3.065314
79.0,1.907127,3.074618
79.1,1.931681,3.092346
79.2,1.960378,3.101079
79.3,1.989678,3.113718
79.4,2.021516,3.132351
79.5,2.037815,3.145553
79.6,2.056240,3.165423
79.7,2.093208,3.175914
79.8,2.120168,3.194426
79.9,2.145430,3.216042
80.0,2.162928,3.242158
80.1,2.184920,3.253174
80.2,2.209426,3.282106
80.3,2.237108,3.294833
80.4,2.257412,3.317107
80.5,2.278357,3.345936
80.6,2.309018,3.360754
80.7,2.320662,3.395063
80.8,2.340455,3.417146
80.9,2.365165,3.445080
81.0,2.394107,3.471782
81.1,2.407248,3.483585
81.2,2.434632,3.515831
81.3,2.455728,3.536786
81.4,2.492783,3.569641
81.5,2.510397,3.615853
81.6,2.543179,3.629071
81.7,2.573968,3.656885
81.8,2.606121,3.683132
81.9,2.639389,3.707549
82.0,2.671997,3.725270
82.1,2.695653,3.748742
82.2,2.716494,3.766915
82.3,2.735332,3.784932
82.4,2.765681,3.803732
82.5,2.789702,3.820099
82.6,2.836031,3.843130
82.7,2.861935,3.885246
82.8,2.886939,3.929840
82.9,2.918337,3.956042
83.0,2.958580,3.985068
83.1,2.994745,4.013359
83.2,3.028144,4.037747
83.3,3.054584,4.076549
83.4,3.082707,4.101927
83.5,3.102478,4.134489
83.6,3.132191,4.149274
83.7,3.169516,4.185130
83.8,3.236442,4.209799
83.9,3.251293,4.261224
84.0,3.284162,4.290638
84.1,3.342562,4.309756
84.2,3.405087,4.342506
84.3,3.435994,4.378470
84.4,3.477952,4.422750
84.5,3.518799,4.469874
84.6,3.537219,4.494498
84.7,3.575771,4.523881
84.8,3.616303,4.544612
84.9,3.651831,4.579695
85.0,3.679634,4.637462
85.1,3.724053,4.658060
85.2,3.757282,4.691144
85.3,3.800849,4.721692
85.4,3.839804,4.764702
85.5,3.866080,4.791338
85.6,3.882480,4.825440
85.7,3.911454,4.883818
85.8,3.964736,4.928907
85.9,4.014902,4.970630
86.0,4.060471,5.000571
86.1,4.127371,5.054695
86.2,4.165294,5.103977
86.3,4.202352,5.152833
86.4,4.232580,5.175887
86.5,4.276066,5.202582
86.6,4.316594,5.244881
86.7,4.335138,5.282769
86.8,4.376892,5.324644
86.9,4.445774,5.365070
87.0,4.471945,5.385993
87.1,4.498062,5.423567
87.2,4.519188,5.441076
87.3,4.541718,5.475344
87.4,4.586898,5.486687
87.5,4.639020,5.517588
87.6,4.671219,5.560145
87.7,4.708453,5.596134
87.8,4.742359,5.638825
87.9,4.763239,5.674277
88.0,4.808629,5.711796
88.1,4.855561,5.748207
88.2,4.904768,5.772183
88.3,4.950656,5.798188
88.4,5.012552,5.836840
88.5,5.064186,5.876797
88.6,5.101256,5.898384
88.7,5.146507,5.923013
88.8,5.211022,5.967822
88.9,5.244294,6.008543
89.0,5.282472,6.027554
89.1,5.315825,6.067899
89.2,5.368120,6.106918
89.3,5.420498,6.140177
89.4,5.460170,6.195938
89.5,5.511553,6.221836
89.6,5.559552,6.268749
89.7,5.604873,6.307859
89.8,5.662568,6.337521
89.9,5.683351,6.374621
90.0,5.739941,6.429502
90.1,5.787005,6.494017
90.2,5.841179,6.538294
90.3,5.901649,6.580742
90.4,5.981861,6.661110
90.5,6.042193,6.695137
90.6,6.109821,6.755220
90.7,6.172959,6.801686
90.8,6.213818,6.834891
90.9,6.272496,6.885809
91.0,6.282720,6.956223
91.1,6.327086,7.052513
91.2,6.350286,7.087296
91.3,6.391438,7.122944
91.4,6.432876,7.162305
91.5,6.518453,7.185879
91.6,6.547070,7.251290
91.7,6.582892,7.312604
91.8,6.619990,7.341284
91.9,6.669997,7.410167
92.0,6.722110,7.452671
92.1,6.765066,7.536946
